Incident_ID,Open_Time,Handle_Time_hrs,CI_Name_enc,CI_Cat_enc,CI_Subcat_enc,Closure_Code_enc,Priority_enc,Impact_enc,Urgency_enc,Resolution_SLA_Breach,Has_KB
IM0000259,2013-05-08 11:04:00,2253.65,2268,2,42,6,4,4,4,True,1
IM0000260,2013-05-08 12:03:00,5210.166666666667,2863,2,58,6,3,3,3,True,1
IM0000261,2013-05-08 14:20:00,5207.816666666667,2863,2,58,4,3,3,3,True,1
IM0000262,2013-06-08 08:17:00,-2157.516666666667,2268,2,42,6,4,4,4,False,1
IM0000263,2013-06-08 09:22:00,,2863,2,58,10,3,3,3,False,1
IM0000266,2013-06-08 15:48:00,,2035,4,23,6,2,2,2,False,1
IM0000267,2013-07-08 09:41:00,3748.5666666666666,2863,2,58,6,3,3,3,True,1
IM0000268,2013-07-08 12:49:00,3745.4166666666665,2863,2,58,6,3,3,3,True,1
IM0000269,2013-07-08 13:41:00,,2863,2,58,10,3,3,3,False,1
IM0000270,2013-07-08 14:38:00,-628.0666666666667,2863,2,58,6,3,3,3,False,1
IM0000271,2013-07-08 14:40:00,,2863,2,58,4,3,3,3,False,1
IM0000272,2013-07-08 15:51:00,3742.233333333333,2841,2,58,6,3,3,3,True,1
IM0000273,2013-07-08 15:57:00,822.0666666666667,2454,2,45,11,3,3,3,True,1
IM0000274,2013-08-08 09:30:00,,2863,2,58,6,3,3,3,False,1
IM0000275,2013-08-08 09:59:00,-691.7333333333333,2711,12,58,10,3,3,3,False,1
IM0000276,2013-08-08 13:15:00,,2487,2,45,6,4,4,4,False,1
IM0000278,2013-08-08 12:01:00,,2863,2,58,10,3,3,3,False,1
IM0000279,2013-08-08 15:30:00,-5047.4,2576,2,45,10,3,3,3,False,1
IM0000280,2013-08-08 15:39:00,,2267,2,42,5,4,4,4,False,1
IM0000281,2013-09-08 11:59:00,,2564,2,45,6,2,2,2,False,1
IM0000283,2013-12-08 10:16:00,8614.766666666666,2692,12,45,6,3,3,3,True,1
IM0000284,2013-12-08 11:10:00,,2267,2,42,6,4,4,4,False,1
IM0000285,2013-12-08 11:03:00,,2454,2,45,10,3,3,3,False,1
IM0000286,2013-12-08 14:42:00,-6555.6,2869,2,58,6,3,3,3,False,1
IM0000287,2013-12-08 14:51:00,-6555.55,2567,2,45,6,5,5,2,False,1
IM0000288,,,2863,2,58,11,3,3,3,False,1
IM0000289,,,2455,2,45,10,3,3,3,False,1
IM0000290,,,2454,2,45,6,3,3,3,False,1
IM0000292,,,2552,2,45,2,4,4,4,False,1
IM0000293,,,2863,2,58,6,3,3,3,False,1
IM0000294,,,2817,2,58,10,4,4,4,False,1
IM0000295,,,2268,2,42,6,4,4,4,False,1
IM0000296,,,2758,12,58,6,4,4,4,False,1
IM0000297,,,2557,2,45,6,2,2,2,False,1
IM0000298,,,2863,2,58,6,3,3,3,False,1
IM0000299,,,2654,2,47,10,5,5,2,False,1
IM0000300,,,2863,2,58,10,3,3,3,False,1
IM0000301,,,2557,2,45,4,3,4,3,False,1
IM0000303,,,2863,2,58,6,3,3,3,False,1
IM0000304,,,2817,2,58,10,4,4,4,False,1
IM0000305,,,2751,12,58,10,3,3,3,False,1
IM0000306,,,2751,12,58,4,3,3,3,False,1
IM0000307,,,2856,2,58,4,2,2,2,False,1
IM0000308,,,2454,2,45,10,3,3,3,False,1
IM0000309,,,2863,2,58,6,3,3,3,False,1
IM0000310,,,2735,12,58,10,4,4,4,False,1
IM0000311,,,2863,2,58,6,3,3,3,False,1
IM0000312,,,2863,2,58,12,2,2,2,False,1
IM0000313,,,2556,2,45,10,2,2,2,False,1
IM0000314,,,2849,2,58,6,3,3,3,False,1
IM0000315,,,2714,12,58,6,3,3,3,False,1
IM0000316,,,2841,2,58,6,2,2,2,False,1
IM0000317,,,2725,12,58,10,3,3,3,False,1
IM0000318,,,2863,2,58,10,3,3,3,False,1
IM0000319,,,2863,2,58,6,3,3,3,False,1
IM0000320,,,2268,2,42,6,4,4,4,False,1
IM0000321,,,2849,2,58,10,3,3,3,False,1
IM0000322,,,2304,2,45,10,4,4,4,False,1
IM0000324,,,17,2,4,11,3,3,3,False,1
IM0000326,,,998,2,10,1,3,4,3,False,1
IM0000327,,,2869,2,58,6,4,4,4,False,1
IM0000328,,,2849,2,58,6,3,3,3,False,1
IM0000329,,,2986,4,59,10,3,3,3,False,1
IM0000330,,,2751,12,58,10,3,3,3,False,1
IM0000331,,,2841,2,58,6,3,3,3,False,1
IM0000332,,,1014,2,10,11,4,4,4,False,1
IM0000333,,,2863,2,58,0,4,4,4,False,1
IM0000334,,,2869,2,58,6,3,3,4,False,1
IM0000336,,,2487,2,45,6,4,4,4,False,1
IM0000337,,,2268,2,42,10,4,4,4,False,1
IM0000338,,,2268,2,42,6,4,4,4,False,1
IM0000339,,,2817,2,58,10,4,4,4,False,1
IM0000340,,,2874,2,58,10,4,4,4,False,1
IM0000341,,,2552,2,45,4,3,3,3,False,1
IM0000343,,,2661,12,3,10,4,4,4,False,1
IM0000344,,,2552,2,45,10,5,5,2,False,1
IM0000345,,,2863,2,58,6,3,3,3,False,1
IM0000346,,,2561,2,45,6,4,4,4,False,1
IM0000347,,,1246,4,21,10,4,4,4,False,1
IM0000348,,,2454,2,45,10,3,3,3,False,1
IM0000349,,,2834,2,58,4,3,3,3,False,1
IM0000350,,,2282,2,45,4,3,3,3,False,1
IM0000351,,,2454,2,45,10,3,3,3,False,1
IM0000352,,,2397,2,45,6,4,4,4,False,1
IM0000353,,,1121,4,21,10,3,3,3,False,1
IM0000354,,,2654,2,47,10,3,3,3,False,1
IM0000355,,,2376,2,45,6,4,4,4,False,1
IM0000356,,,2268,2,42,6,4,4,4,False,1
IM0000357,,,2268,2,42,6,4,4,4,False,1
IM0000358,,,2557,2,45,6,3,3,3,False,1
IM0000359,,,2454,2,45,11,3,3,3,False,1
IM0000360,2013-02-09 10:01:00,,1805,4,21,1,4,4,4,False,1
IM0000363,2013-02-09 10:10:00,6579.183333333333,2269,2,42,6,3,3,3,True,1
IM0000364,2013-02-09 15:09:00,3623.2,2711,12,58,10,3,3,3,True,1
IM0000365,2013-02-09 15:53:00,2179.266666666667,2455,2,45,6,3,3,3,True,1
IM0000366,2013-02-09 12:58:00,3625.4666666666667,1009,2,10,10,2,2,2,True,1
IM0000367,2013-02-09 13:43:00,4368.766666666666,2552,2,45,6,4,4,4,True,1
IM0000368,2013-02-09 15:02:00,,2376,2,45,6,4,4,4,False,1
IM0000369,2013-02-09 14:10:00,1462.1,2269,2,42,6,4,4,4,True,1
IM0000370,2013-02-09 14:12:00,,2268,2,42,6,4,4,4,False,1
IM0000371,2013-02-09 14:52:00,,2741,12,58,10,3,3,3,False,1
IM0000372,2013-02-09 15:05:00,1456.95,2741,12,58,6,3,3,3,True,1
IM0000373,2013-03-09 08:19:00,,2863,2,58,10,4,4,4,False,1
IM0000374,2013-02-09 15:51:00,,1839,4,21,1,4,4,4,False,1
IM0000375,2013-03-09 08:01:00,-592.25,2487,2,45,6,4,4,4,False,1
IM0000376,2013-03-09 11:37:00,29.166666666666668,17,2,4,10,3,3,3,False,1
IM0000377,2013-03-09 13:16:00,,2487,2,45,6,3,3,3,False,1
IM0000378,2013-03-09 14:52:00,5899.866666666667,2741,12,58,10,3,3,3,True,1
IM0000379,2013-03-09 16:54:00,-1399.4166666666667,1050,2,10,6,3,3,3,False,1
IM0000380,2013-04-09 10:12:00,,2556,2,45,4,5,5,3,False,1
IM0000381,2013-03-09 16:13:00,,2573,2,45,6,2,2,2,False,1
IM0000382,2013-03-09 16:39:00,5199.683333333333,2267,2,42,10,4,4,4,True,1
IM0000383,2013-03-09 16:43:00,17.333333333333332,2863,2,58,11,3,3,3,False,1
IM0000384,2013-04-09 10:16:00,4419.5,2268,2,42,6,4,4,4,True,1
IM0000385,2013-04-09 11:46:00,,2150,1,54,11,4,4,4,False,1
IM0000386,2013-04-09 15:42:00,2205.7166666666667,2709,12,58,13,3,3,3,True,1
IM0000387,2013-04-09 16:10:00,1492.9166666666667,2862,2,58,6,3,3,3,True,1
IM0000388,2013-04-09 12:47:00,,2584,2,45,11,3,3,3,False,1
IM0000389,2013-04-09 14:44:00,,2869,2,58,10,4,4,4,False,1
IM0000390,2013-04-09 15:06:00,,984,2,10,11,3,3,3,False,1
IM0000391,2013-04-09 15:49:00,3702.15,2532,2,45,10,4,4,4,True,1
IM0000392,2013-05-09 10:28:00,,2751,12,58,4,4,4,4,False,1
IM0000393,2013-05-09 11:27:00,,2265,2,42,6,4,4,4,False,1
IM0000394,2013-05-09 12:17:00,3691.75,2376,2,45,6,4,4,4,True,1
IM0000395,2013-05-09 13:22:00,,2376,2,45,6,4,4,4,False,1
IM0000396,2013-05-09 11:51:00,1488.75,2821,2,58,6,4,4,4,True,1
IM0000397,2013-05-09 12:05:00,13729.916666666666,2863,2,58,6,3,3,3,True,1
IM0000399,2013-05-09 11:19:00,,2741,12,58,10,3,3,3,False,1
IM0000400,2013-05-09 11:34:00,5187.166666666667,2741,12,58,6,3,3,3,True,1
IM0000401,2013-05-09 11:57:00,-2860.1666666666665,2741,12,58,4,3,3,3,False,1
IM0000403,2013-05-09 13:50:00,2975.0833333333335,1125,4,21,1,4,4,4,True,1
IM0000404,2013-06-09 12:01:00,,2573,2,45,1,5,5,2,False,1
IM0000405,2013-06-09 13:34:00,-1421.5833333333333,2741,12,58,4,3,3,3,False,1
IM0000406,2013-06-09 09:59:00,,2552,2,45,4,3,3,3,False,1
IM0000407,2013-06-09 14:01:00,,2376,2,45,6,4,4,4,False,1
IM0000408,2013-06-09 15:38:00,,2268,2,42,6,4,4,4,False,1
IM0000409,2013-06-09 14:41:00,,2454,2,45,10,3,3,3,False,1
IM0000410,2013-06-09 16:58:00,,2575,2,45,6,3,3,3,False,1
IM0000411,2013-06-09 15:54:00,8586.55,2869,2,58,6,4,4,4,True,1
IM0000412,2013-06-09 16:45:00,,2741,12,58,6,5,5,2,False,1
IM0000413,2013-09-09 09:00:00,,1013,2,10,10,3,3,3,False,1
IM0000414,2013-09-09 10:27:00,,2267,2,42,6,4,4,4,False,1
IM0000415,2013-09-09 09:38:00,-1460.3,2821,2,58,6,4,4,4,False,1
IM0000416,2013-09-09 09:45:00,,2476,2,45,4,2,2,2,False,1
IM0000417,2013-09-09 12:55:00,-2904.266666666667,2552,2,45,4,4,4,4,False,1
IM0000418,2013-09-09 12:56:00,,2863,2,58,10,2,2,2,False,1
IM0000420,2013-09-09 12:54:00,19.9,2346,2,45,6,3,3,3,False,1
IM0000421,2013-09-09 13:28:00,,2455,2,45,10,3,3,3,False,1
IM0000422,2013-09-09 12:44:00,-4393.8,1259,4,21,1,4,4,4,False,1
IM0000424,2013-09-09 15:31:00,-1466.6833333333334,2821,2,58,6,4,4,4,False,1
IM0000425,2013-09-09 15:52:00,-5069.766666666666,2869,2,58,6,3,3,4,False,1
IM0000426,2013-10-09 09:02:00,-692.6833333333333,2059,6,27,1,3,3,3,False,1
IM0000427,2013-10-09 09:29:00,1517.7833333333333,2863,2,58,6,3,3,3,True,1
IM0000428,2013-10-09 10:03:00,,2863,2,58,12,4,4,4,False,1
IM0000429,2013-10-09 10:05:00,,2863,2,58,10,3,3,3,False,1
IM0000430,2013-10-09 10:57:00,1516.35,2863,2,58,6,3,3,3,True,1
IM0000431,2013-10-09 11:14:00,,2863,2,58,6,3,3,3,False,1
IM0000432,2013-10-09 11:22:00,,2376,2,45,6,4,4,4,False,1
IM0000433,2013-10-09 13:09:00,-3602.883333333333,2863,2,58,11,3,3,3,False,1
IM0000434,2013-10-09 13:47:00,-2186.9333333333334,2863,2,58,6,3,3,3,False,1
IM0000435,2013-10-09 11:07:00,-6527.55,2709,12,58,10,4,4,4,False,1
IM0000437,2013-10-09 12:11:00,-694.0666666666667,2874,2,58,11,4,4,4,False,1
IM0000438,2013-10-09 12:20:00,-1442.4166666666667,2725,12,58,10,3,3,3,False,1
IM0000439,2013-10-09 12:37:00,,2869,2,58,4,3,3,4,False,1
IM0000440,2013-10-09 14:05:00,23.466666666666665,2469,2,45,6,5,5,2,False,1
IM0000441,2013-10-09 14:19:00,,2874,2,58,10,3,3,3,False,1
IM0000442,2013-10-09 14:12:00,-2159.65,2863,2,58,6,3,3,3,False,1
IM0000443,2013-10-09 15:14:00,1511.4833333333333,2741,12,58,6,3,3,3,True,1
IM0000444,2013-10-09 14:24:00,1512.35,2863,2,58,6,3,3,3,True,1
IM0000445,2013-10-09 15:44:00,,2863,2,58,6,3,3,3,False,1
IM0000446,2013-11-09 08:35:00,-1434.6166666666666,2376,2,45,6,4,4,4,False,1
IM0000447,2013-11-09 10:12:00,,2487,2,45,11,3,3,3,False,1
IM0000448,2013-11-09 09:51:00,,13,10,1,6,3,3,3,False,1
IM0000449,2013-11-09 11:39:00,,2262,11,41,0,4,4,4,False,1
IM0000450,2013-11-09 09:40:00,-5856.066666666667,2863,2,58,6,3,3,3,False,1
IM0000451,2013-11-09 11:06:00,771.6666666666666,2863,2,58,6,3,3,3,True,1
IM0000452,2013-11-09 11:06:00,,2268,2,42,6,4,4,4,False,1
IM0000453,2013-11-09 11:15:00,-2928.05,2863,2,58,4,3,3,3,False,1
IM0000454,2013-11-09 11:28:00,-6531.466666666666,2376,2,45,6,4,4,4,False,1
IM0000455,2013-11-09 12:43:00,,2863,2,58,0,3,3,3,False,1
IM0000456,2013-11-09 12:45:00,2019.5,2485,2,45,6,3,3,3,True,1
IM0000457,2013-11-09 12:50:00,,2863,2,58,4,3,3,3,False,1
IM0000458,2013-11-09 12:59:00,-2929.7833333333333,2268,2,42,6,4,4,4,False,1
IM0000459,2013-11-09 11:29:00,,2346,2,45,10,2,2,2,False,1
IM0000460,2013-11-09 11:52:00,771.1833333333333,2863,2,58,6,3,3,3,True,1
IM0000461,2013-11-09 13:18:00,769.7333333333333,2863,2,58,6,3,3,3,True,1
IM0000463,2013-11-09 14:38:00,44.96666666666667,2820,2,58,6,4,4,4,False,1
IM0000464,2013-11-09 12:59:00,,2376,2,45,6,4,4,4,False,1
IM0000465,2013-11-09 13:14:00,769.8333333333334,2863,2,58,6,3,3,3,True,1
